neighborhood_name,percent_uninsured,percent_adults_with_disability,health_disadvantage_score_AVG,composite_score_AVG,poverty_rate_avg,population_count,disability_rate_mean_of_ratios_AVG
Alki/Admiral,3.75,10.877504688579608,0.485278625,0.40036525,0.128572625,11920,0.09668825
North Delridge,9.054501131812641,9.418760790331863,0.7403155,0.7591735000000001,0.2359108333333333,5743,0.1235876666666666
High Point,3.0345877746356322,12.785588752196835,0.7403155,0.7591735000000001,0.2359108333333333,9194,0.1235876666666666
Riverview,1.5556441962504985,8.121827411167512,0.7403155,0.7591735000000001,0.2359108333333333,5014,0.1235876666666666
Roxhill/Westwood,7.469206531079919,14.41130839510429,0.7403155,0.7591735000000001,0.2359108333333333,13964,0.1235876666666666
Highland Park,6.149305128520477,15.118205089594941,0.7403155,0.7591735000000001,0.2359108333333333,8131,0.1235876666666666
South Park,12.359550561797752,18.138424821002385,0.7403155,0.7591735000000001,0.2359108333333333,3916,0.1235876666666666
Georgetown,12.277730736663845,9.943714821763603,0.6600996,0.7743238,0.2872793999999999,1181,0.1327904
Duwamish/SODO,8.138801261829654,10.936431989063568,0.6600996,0.7743238,0.2872793999999999,3170,0.1327904
South Beacon Hill/NewHolly,5.9513884435323545,14.985198815905273,0.683267,0.84359225,0.316849,15593,0.1319795
Beacon Hill,9.279897128161165,11.411889596602972,0.683267,0.84359225,0.316849,9332,0.1319795
North Beacon Hill/Jefferson Park,5.234014502307185,16.908900209769254,0.683267,0.84359225,0.316849,15170,0.1319795
Rainier Beach,9.063921172309247,13.900251730648206,0.7437691666666666,0.8323213333333334,0.2383538333333333,15832,0.1227856666666666
Columbia City,4.691790550137298,11.208202260281954,0.7437691666666666,0.8323213333333334,0.2383538333333333,21122,0.1227856666666666
Seward Park,6.282436492761541,9.350140741647289,0.647619,0.690444,0.189017,10983,0.090328
Mt. Baker/North Rainier,6.379718623763756,11.15305422100206,0.7437691666666666,0.8323213333333334,0.2383538333333333,7179,0.1227856666666666
Madrona/Leschi,2.7261037291041577,12.532801511493648,0.5542663333333334,0.5190116666666666,0.1712983333333333,11665,0.10082
Judkins Park,5.161290322580645,16.098226466575717,0.5542663333333334,0.5190116666666666,0.1712983333333333,4185,0.10082
Central Area/Squire Park,6.277589331350773,11.153039832285115,0.5542663333333334,0.5190116666666666,0.1712983333333333,21521,0.10082
First Hill,4.7808096622679495,15.178964584512803,0.595552375,0.687407,0.26702825,17884,0.174997125
Capitol Hill,4.992701822673004,13.762872784349756,0.2984252,0.2261788,0.1384854,26719,0.0845238
North Capitol Hill,4.169285564634402,8.33711949114039,0.2984252,0.2261788,0.1384854,4773,0.0845238
Miller Park,1.0810154257257378,10.248358549814444,0.2984252,0.2261788,0.1384854,8233,0.0845238
Madison Park,1.8917042693509196,7.002484752654167,0.2984252,0.2261788,0.1384854,5762,0.0845238
Montlake/Portage Bay,0.6384831188932959,9.357525961428735,0.349087125,0.29738475,0.147976,10337,0.087180875
University District,4.525120440467997,9.537113946990864,0.4613259999999999,0.5872946666666666,0.4674246666666667,23248,0.074128
Ravenna/Bryant,4.22992319065306,8.076591496891874,0.349087125,0.29738475,0.147976,27731,0.087180875
Wedgwood/View Ridge,1.775351910370583,8.638648117124335,0.349087125,0.29738475,0.147976,17405,0.087180875
Laurelhurst/Sand Point,1.1815252416756177,10.212201591511937,0.349087125,0.29738475,0.147976,11172,0.087180875
Northgate/Maple Leaf,4.23861852433281,16.354726740624788,0.5872325,0.6176360000000001,0.19393175,17199,0.132412
Olympic Hills/Victory Heights,6.1815198921896055,14.935658533155195,0.5872325,0.6176360000000001,0.19393175,17067,0.132412
Cedar Park/Meadowbrook,10.285714285714285,12.350694726578372,0.591964,0.585022,0.1670534,14525,0.1167154
Broadview/Bitter Lake,5.199030364889002,19.37960206799311,0.5349208,0.4592484,0.1474098,15676,0.1081361999999999
Licton Springs,4.2209807572936064,10.640484073524375,0.5872325,0.6176360000000001,0.19393175,9666,0.132412
Greenwood/Phinney Ridge,4.12165162054166,8.47964796479648,0.5349208,0.4592484,0.1474098,27028,0.1081361999999999
Green Lake,2.3437052317918745,8.747488278633623,0.332145,0.27217525,0.15397175,17451,0.0747005
Haller Lake,4.279403644395361,15.857641626309269,0.5872325,0.6176360000000001,0.19393175,10866,0.132412
North Beach/Blue Ridge,3.6458333333333335,10.021572857423024,0.5349208,0.4592484,0.1474098,12672,0.1081361999999999
Whittier Heights,1.7152658662092626,8.645246770453793,0.3426888,0.2548428,0.1066098,14575,0.0945924
Sunset Hill/Loyal Heights,1.8947629993166428,10.914977260464042,0.3426888,0.2548428,0.1066098,16097,0.0945924
Ballard,2.2480967308553517,10.300684727597499,0.3426888,0.2548428,0.1066098,11165,0.0945924
Fremont,2.5360947385497217,5.145000893229322,0.332145,0.27217525,0.15397175,18493,0.0747005
Wallingford,5.489855701421287,5.776262782770375,0.332145,0.27217525,0.15397175,18434,0.0747005
Cascade/Eastlake,3.83808948434557,8.745566889693247,0.2506946666666667,0.305894,0.1339433333333333,28139,0.0763593333333333
Magnolia,1.8373275236020332,7.867116032739528,0.3736856666666666,0.2883996666666666,0.1070933333333333,13770,0.072333
Interbay,4.228523769808174,9.804665275934003,0.357349,0.333111,0.131267,11990,0.069712
Queen Anne,4.058549567531603,9.564097383574097,0.32778575,0.3253582499999999,0.12765975,45090,0.08965225
Belltown,4.504344741975527,12.199747155499367,0.595552375,0.687407,0.26702825,11278,0.174997125
Downtown Commercial Core,3.260869565217391,19.218567373518116,0.595552375,0.687407,0.26702825,6164,0.174997125
Pioneer Square/International District,10.220781225876177,29.60223537146614,0.595552375,0.687407,0.26702825,6477,0.174997125
Aurora-Licton Springs,4.7890112609825515,10.433256849777298,0.5872325,0.6176360000000001,0.19393175,8081,0.132412
Greenwood-Phinney Ridge,10.210526315789474,8.25550989914083,0.5349208,0.4592484,0.1474098,2850,0.1081361999999999
Crown Hill,5.1194539249146755,9.704040978941379,0.5349208,0.4592484,0.1474098,4395,0.1081361999999999
Upper Queen Anne,4.34431198221863,11.249731124973113,0.32778575,0.3253582499999999,0.12765975,4949,0.08965225
Eastlake,0.683526999316473,8.42309729825181,0.2506946666666667,0.305894,0.1339433333333333,5852,0.0763593333333333
23rd & Union-Jackson,6.191517802892211,17.15939632003308,0.5542663333333334,0.5190116666666666,0.1712983333333333,16458,0.10082
North Beacon Hill,8.685041630778064,12.76083467094703,0.683267,0.84359225,0.316849,6966,0.1319795
Columbia City,0.8382942534321468,11.83781264564238,0.7437691666666666,0.8323213333333334,0.2383538333333333,8231,0.1227856666666666
Admiral,1.0211524434719184,22.409858512094935,0.485278625,0.40036525,0.128572625,2742,0.09668825
Bitter Lake Village,7.075947542873613,17.4056685793775,0.5349208,0.4592484,0.1474098,6939,0.1081361999999999
Othello,6.99407871821665,15.183917878528657,0.7437691666666666,0.8323213333333334,0.2383538333333333,14355,0.1227856666666666
Westwood-Highland Park,12.175616125346826,14.758320126782884,0.7403155,0.7591735000000001,0.2359108333333333,6127,0.1235876666666666
South Park,12.359550561797752,18.138424821002385,0.7403155,0.7591735000000001,0.2359108333333333,3916,0.1235876666666666
Madison-Miller,4.4048181388757675,9.987080103359174,0.2984252,0.2261788,0.1384854,8468,0.0845238
Lake City,10.084033613445378,14.511873350923482,0.591964,0.585022,0.1670534,5355,0.1167154
Roosevelt,4.0438656614119255,8.283132530120483,0.349087125,0.29738475,0.147976,4377,0.087180875
Wallingford,8.122306034482758,7.080350039777247,0.332145,0.27217525,0.15397175,7424,0.0747005
Rainier Beach,8.116122990479163,11.77331660393141,0.7437691666666666,0.8323213333333334,0.2383538333333333,6407,0.1227856666666666
West Seattle Junction,4.490209318028359,9.490825130635557,0.485278625,0.40036525,0.128572625,8886,0.09668825
Morgan Junction,3.0364785001018952,9.296724470134874,0.485278625,0.40036525,0.128572625,4907,0.09668825
Green Lake,1.4995834490419329,13.460410557184751,0.332145,0.27217525,0.15397175,3601,0.0747005
Northgate,7.689886697440201,16.95395513577332,0.5872325,0.6176360000000001,0.19393175,9532,0.132412
Fremont,2.3494058188772025,4.398826979472141,0.332145,0.27217525,0.15397175,7321,0.0747005
Ballard,2.1248651437684694,9.652777777777779,0.3426888,0.2548428,0.1066098,21319,0.0945924
Mt Baker,7.503828483920367,15.929062150503276,0.7437691666666666,0.8323213333333334,0.2383538333333333,7836,0.1227856666666666
South Lake Union,4.008492569002123,9.036933554527197,0.2506946666666667,0.305894,0.1339433333333333,11775,0.0763593333333333
University District,5.528731723903435,8.824940047961631,0.4613259999999999,0.5872946666666666,0.4674246666666667,29410,0.074128
Uptown,5.130029246699866,13.610707950330593,0.32778575,0.3253582499999999,0.12765975,12651,0.08965225
Downtown,5.340922853336563,14.60833977990168,0.595552375,0.687407,0.26702825,41285,0.174997125
First Hill/Capitol Hill,4.834975722685461,14.185582222993794,0.2984252,0.2261788,0.1384854,48811,0.0845238
Greater Duwamish,16.700201207243463,13.859275053304904,0.6600996,0.7743238,0.2872793999999999,497,0.1327904
Arbor Heights,1.6115904281295783,11.10641891891892,0.485278625,0.40036525,0.128572625,6143,0.09668825
Fauntleroy/Seaview,2.0029181589070166,8.060330846578008,0.485278625,0.40036525,0.128572625,15078,0.09668825
West Seattle Junction/Genesee Hill,1.747374686450406,10.770094985190482,0.485278625,0.40036525,0.128572625,23521,0.09668825
